#HDR ms,ax,ay,az,mag,hp_abs,rms,label
406958,0.0623,-0.0449,1.0969,1.0996,0.0719,0.0385,STRUCT
406968,0.0693,-0.0215,0.9802,0.9829,0.0434,0.0395,STRUCT
406978,0.0635,-0.0229,1.052,1.0542,0.027,0.0398,STRUCT
406988,0.0603,-0.0164,0.9846,0.9866,0.0394,0.0406,STRUCT
406998,0.0559,-0.0154,1.0051,1.0068,0.0186,0.0407,STRUCT
407008,0.052,-0.0149,1.0234,1.0249,0.0005,0.0407,STRUCT
407018,0.0579,-0.019,1.0103,1.0121,0.0129,0.0408,STRUCT
407028,0.064,-0.0151,1.0203,1.0224,0.0025,0.0408,STRUCT
407038,0.0593,-0.0178,1.0076,1.0095,0.0149,0.0409,STRUCT
407048,0.0615,-0.0198,1.0193,1.0213,0.003,0.0409,STRUCT
407058,0.0618,-0.0229,1.0076,1.0097,0.0141,0.041,STRUCT
407068,0.0601,-0.0264,1.0154,1.0175,0.0062,0.041,STRUCT
407078,0.0579,-0.0259,1.0076,1.0096,0.0137,0.0411,STRUCT
407088,0.0544,-0.0269,1.0271,1.0289,0.0055,0.0411,STRUCT
407098,0.0542,-0.0251,1.0173,1.0191,0.0042,0.0411,STRUCT
407108,0.0525,-0.0237,1.0137,1.0153,0.0077,0.0411,STRUCT
407118,0.0586,-0.0168,1.0151,1.017,0.0059,0.0411,STRUCT
407128,0.061,-0.0181,1.0183,1.0203,0.0025,0.0411,STRUCT
407138,0.0615,-0.0154,1.0161,1.0181,0.0045,0.0396,STRUCT
407148,0.0625,-0.0144,1.0073,1.0094,0.0129,0.0397,STRUCT
407158,0.0708,-0.0154,1.0115,1.0141,0.0079,0.0397,STRUCT
407168,0.0642,-0.0176,1.0112,1.0134,0.0083,0.039,STRUCT
407178,0.0623,-0.02,1.0115,1.0136,0.0079,0.0242,CALM
407188,0.061,-0.0222,1.0132,1.0153,0.006,0.0241,CALM
407198,0.0515,-0.0227,1.0146,1.0162,0.0049,0.0211,CALM
407208,0.053,-0.0251,1.0166,1.0183,0.0028,0.0154,CALM
407218,0.0513,-0.0164,1.0173,1.0188,0.0022,0.0127,CALM
407228,0.05,-0.0237,1.0151,1.0166,0.0042,0.0116,CALM
407238,0.0513,-0.0217,1.0134,1.015,0.0057,0.0085,CALM
407248,0.0542,-0.0198,1.0132,1.0148,0.0057,0.0078,CALM
407258,0.0542,-0.0183,1.0144,1.016,0.0043,0.0078,CALM
407268,0.0576,-0.0212,1.0168,1.0187,0.0016,0.0074,CALM
407278,0.0603,-0.0186,1.012,1.0139,0.0062,0.0075,CALM
407288,0.062,-0.0234,1.0098,1.0119,0.0079,0.007,CALM
407298,0.0625,-0.022,1.0159,1.018,0.0018,0.007,CALM
407308,0.0645,-0.022,1.011,1.0133,0.0063,0.0066,CALM
407318,0.0632,-0.0254,1.0085,1.0108,0.0085,0.0067,CALM
407328,0.0645,-0.0234,1.0125,1.0148,0.0044,0.0061,CALM
407339,0.064,-0.022,1.0171,1.0193,0.0001,0.006,CALM
407348,0.0652,-0.0198,1.011,1.0133,0.0057,0.0061,CALM
407358,0.0657,-0.0266,1.011,1.0135,0.0054,0.006,CALM
407368,0.0657,-0.0183,1.0127,1.015,0.0037,0.0059,CALM
407378,0.0664,-0.0225,1.0134,1.0158,0.0028,0.0059,CALM
407388,0.0598,-0.0193,1.0146,1.0166,0.002,0.0059,CALM
407398,0.0601,-0.0215,1.011,1.013,0.0054,0.0054,CALM
407408,0.0596,-0.0156,1.0161,1.018,0.0004,0.0051,CALM
407418,0.0508,-0.0181,1.0117,1.0132,0.0051,0.005,CALM
407428,0.0552,-0.0164,1.0166,1.0182,0,0.0047,CALM
407438,0.054,-0.0195,1.0144,1.016,0.0021,0.0046,CALM
407448,0.0525,-0.0215,1.0139,1.0155,0.0026,0.0045,CALM
407458,0.054,-0.0229,1.0146,1.0163,0.0017,0.0045,CALM
407468,0.0549,-0.0239,1.0183,1.0201,0.002,0.0045,CALM
407478,0.0586,-0.0198,1.0212,1.0231,0.0049,0.0045,CALM
407488,0.0574,-0.0222,1.0132,1.015,0.0031,0.0044,CALM
407498,0.0581,-0.0215,1.0107,1.0126,0.0053,0.0044,CALM
407508,0.063,-0.0193,1.0181,1.0202,0.0021,0.0043,CALM
407518,0.0649,-0.0227,1.0093,1.0116,0.0062,0.0045,CALM
407528,0.0535,-0.0205,1.0156,1.0172,0.0006,0.0043,CALM
407538,0.0591,-0.021,1.0166,1.0185,0.0007,0.004,CALM
407548,0.0549,-0.0232,1.0154,1.0171,0.0007,0.004,CALM
407558,0.0562,-0.0229,1.0151,1.0169,0.0009,0.0038,CALM
407568,0.0547,-0.021,1.0134,1.0151,0.0026,0.0034,CALM
407578,0.0559,-0.0225,1.0154,1.0172,0.0005,0.0033,CALM
407588,0.0576,-0.0205,1.0173,1.0192,0.0014,0.0033,CALM
407598,0.0603,-0.0215,1.0173,1.0193,0.0015,0.0032,CALM
407608,0.0557,-0.0203,1.01,1.0117,0.0059,0.0032,CALM
407618,0.0593,-0.0188,1.0125,1.0144,0.0032,0.0032,CALM
407628,0.0574,-0.0195,1.0054,1.0072,0.01,0.0037,CALM
407638,0.0579,-0.0205,1.0188,1.0206,0.0033,0.0037,CALM
407648,0.0579,-0.021,1.0198,1.0216,0.0042,0.0037,CALM
407658,0.0601,-0.0229,1.0154,1.0174,0,0.0037,CALM
407668,0.0632,-0.0244,1.0222,1.0245,0.0068,0.0038,CALM
407678,0.0588,-0.0234,1.0144,1.0164,0.0012,0.0038,CALM
407688,0.0627,-0.0227,1.0134,1.0156,0.0019,0.0038,CALM
407698,0.0632,-0.0212,1.0146,1.0168,0.0007,0.0038,CALM
407708,0.0625,-0.0242,1.0146,1.0169,0.0007,0.0037,CALM
407718,0.063,-0.019,1.0183,1.0204,0.0028,0.0038,CALM
407728,0.0615,-0.02,1.0105,1.0126,0.0049,0.0038,CALM
407738,0.0588,-0.0181,1.0125,1.0143,0.003,0.0038,CALM
407748,0.0605,-0.0217,1.0132,1.0152,0.0021,0.0036,CALM
407758,0.0537,-0.0225,1.0164,1.018,0.0007,0.0036,CALM
407768,0.0574,-0.0171,1.0159,1.0176,0.0003,0.0034,CALM
407778,0.0564,-0.0215,1.0168,1.0186,0.0013,0.0034,CALM
407788,0.0549,-0.0217,1.0139,1.0156,0.0017,0.0034,CALM
407798,0.0564,-0.0261,1.0146,1.0166,0.0007,0.0034,CALM
407808,0.0598,-0.021,1.0183,1.0203,0.0029,0.0035,CALM
407818,0.0535,-0.0198,1.0139,1.0155,0.0018,0.0034,CALM
407828,0.054,-0.0234,1.0166,1.0183,0.001,0.0034,CALM
407838,0.0566,-0.0215,1.0125,1.0143,0.003,0.0035,CALM
407848,0.0547,-0.0195,1.0115,1.0131,0.004,0.0036,CALM
407858,0.0571,-0.0212,1.0085,1.0104,0.0065,0.0036,CALM
407868,0.0562,-0.0195,1.0156,1.0174,0.0004,0.0035,CALM
407878,0.0608,-0.0205,1.0137,1.0157,0.0012,0.0029,CALM
407888,0.0593,-0.0193,1.0103,1.0122,0.0046,0.003,CALM
407898,0.0564,-0.0215,1.0129,1.0147,0.002,0.0029,CALM
407908,0.0576,-0.0173,1.0203,1.022,0.0052,0.0031,CALM
407918,0.0579,-0.0212,1.0146,1.0165,0.0003,0.0028,CALM
407928,0.0571,-0.0166,1.0112,1.013,0.0038,0.0029,CALM
407938,0.062,-0.0161,1.02,1.022,0.0051,0.003,CALM
407948,0.0571,-0.0215,1.0154,1.0172,0.0003,0.003,CALM
407958,0.0554,-0.0176,1.01,1.0117,0.0051,0.0032,CALM
407968,0.0591,-0.0208,1.0063,1.0083,0.0082,0.0035,CALM
407979,0.0576,-0.021,1.0098,1.0116,0.0047,0.0035,CALM
407988,0.0581,-0.0159,1.0151,1.0169,0.0006,0.0035,CALM
407998,0.0586,-0.0225,1.0115,1.0134,0.0028,0.0035,CALM
408008,0.062,-0.0264,1.0178,1.0201,0.0037,0.0036,CALM
408018,0.0588,-0.0205,1.0151,1.017,0.0006,0.0036,CALM
408028,0.061,-0.019,1.0149,1.0169,0.0005,0.0036,CALM
408038,0.0588,-0.0225,1.0105,1.0125,0.0038,0.0036,CALM
408048,0.0569,-0.0259,1.0186,1.0205,0.004,0.0037,CALM
408058,0.0598,-0.0193,1.0151,1.0171,0.0006,0.0037,CALM
408068,0.0596,-0.0247,1.012,1.014,0.0024,0.0037,CALM
408078,0.0625,-0.021,1.0146,1.0168,0.0004,0.0037,CALM
408088,0.0598,-0.0188,1.0164,1.0183,0.0018,0.0036,CALM
408098,0.0608,-0.0178,1.0132,1.0152,0.0012,0.0036,CALM
408108,0.0579,-0.019,1.0122,1.014,0.0023,0.0033,CALM
408118,0.0601,-0.0215,1.0122,1.0142,0.002,0.0034,CALM
408128,0.0554,-0.0203,1.0125,1.0142,0.002,0.0034,CALM
408138,0.0544,-0.0156,1.0198,1.0213,0.005,0.0034,CALM
408148,0.0554,-0.0212,1.0156,1.0174,0.001,0.0034,CALM
408158,0.0569,-0.0225,1.0166,1.0184,0.002,0.0033,CALM
